block_height,block_time,comment,validators_hash,computed_hash,proposer_address,total_vp,6A3CACEAEA586C9AF3051249D6FF34942835DF10,0B8F81F6A82C6B3708D6192C2AD1B53209E04F6C,9901CCDA42B948EDDC835FB5C8AB06730A9C23CD,B5B358B6B17052E2E1A00B8ED78127FFDFF584AF,A3A9B9712869F224F4F1F3CB3DE5D039D6268F21,0DA35960AC73947F415949EDAF885E1A9A186370,372D1BB96574A4F382BCC2E9E5DC1A71CC6B0CE9,CD0DA85F510345EAECB73AEED6E3C2C65AD27E53,54443EF34125BDBDF74D8E1FD1EC3857160EF3CC,96884BE29D4D231AFB90D034748286D51A6BE943,B59B63331FD2120C89BF2E7DD657E7F9AA090A1D,E63597E3F46F3A8C82379A72D37FD7D280E832FA,66843E34B5A0CC0D4FFACE4C928D200753D4B9D3,FC9402FF4B53B8B72624C7FB28DDE49797EF474B,5DEFF454EB30618FA2B978D9FF1C8B523311F1D1,671C08BB55C1C242DC5A342889CD8C0071893FF9,F54306AE4536A8818B3BCB46D156403FCE944650,0E311E3634B0F6F5959F9394577233D6882625D0,16625311355C4993FDA69D218875CAEB783F66D5,1C4A305A101EDFB122E8C15289F036C98986FCDB,305013CCA69866DA942265649D56B57D4F2545CC,76D9967474B62835E703A577101D1FD35F84D36B,97075D998C11771B38AAA0ACFBFDF09EED078BC9,DDF94D41B15E7A77122259D83B2BDCF474540337,E1A48ED16EB660BE4F259E0E3A62B8BE56F41E36,E2CDB3113C0392603810E16929C86C013A46F540,E77FE2A0D7784F9CE575D35F09FBB33BB05CC9EB,EE50044D5EE07FA2C2CC94F1A81D2B6DADC103EB,F6EBCC201A051C2106A6F0CD95A452C843BA4F14,003E6F7A2FD88BAA3E2117945671FE0D994E171D,0385B199514F483871B7B801A923BF53977B2916,103CC3FC5E90C04EE208BD0716DC889552926EF8,214752CFB2CD5CB00EC625739C224AA406226D0E,42890EEA7E9B02890605135356D90B6433A47749,4544EF788285E35826DB28EC62FD704554CC7156,5A22861F57F12829B68A022FB805685A4E5850C3,5BED074FAD72B341DE26B43628F2FE0917AC1D63,95E3F1574DDB503F0380D98A976E0CF8469B874F,98051EE9D111826D0A03BBDD0334C7C246FC4636,9B2D81FF1268365847546044CBAD688382D6B664,9C87B7B7B0E79B4BE81D72C6B68F7122BCB04EEC,A2E373DC0894BC0CD0F5C7A8ECF22F1F9E8F5579,B45362A682176E95B35B2084405D4F50A77F9CCA,C759989AB500EDF629C4CED1267CA30F660E4024,3558238D72FAC0A40B276D8F238CDF28BE16B4AA,3CC44C72DFD38D8538F1AC2443E540CCA730261C,41AA5DF98BDB8A809B956A7925CF21FA905D08DD,52479C885E73D2F570D47E5F0433785051350DD1,59CC9F852235473DF57BCEF37C60F3A29DB36811,60DFD976E9B748B1E1F06FD7B6809A370BD3A302,616BA35C85E60F6C7F5AE9E5FD0843378D130F8E,61DDA93355D0ED14AD0F01DF9657F1D922FD8A08,6406B7B10A978323E679E226F0D3546E0470B864,65185BC275EB9232A2DFF23BEB4EAA075BDAD3CE,7149CA24B79EE0E073B9ED04C232A9E9753FBAC9,7B0DE97C082AE7911928004FE8B145AA1FF56038,87AD83AC8C84ABE5D8890E4DFE407F17BCD42B4E,8A73C4B75E360FF191B844A61B8845A0AD65D208,8C7E66C0416A002CFCF1A99F88F33FCC8F599944,8F7B51C1E8520E0BFA894ED83213E45DEB10E156,9797557328079BB3D3E588DAD873F0EA6C098C10,BF4F4707754A93FC8B10B4CA1DF98A043B776ADF,C43B466D9C3A60859B66A48E0B54C662BC701FB5,CA799C8A8079B5BAC07CBCF77C94CA050CB4CB80,7A74EB2298B26CC9F30C1C682A5C0DE209EE3687,57D2C0F208DE8B603DA6C9B75CD95C32597BE348,3B9916B501C53E38015676282F14E2AAF025F6C5,1501A996ED5577FC65D57F92ACC8E15CE6B7DFAD,657CB53BCDD047092A840BA12B894D6A079C05ED,7EEBC8E086DB6453F77954C44C94D6FB6F0A625E,D4686840675436000E9B33B8A58193B9406ADDA3,ADA6B3B2DE3BB2686DBEF1543C309D10D23EC2CC,DEF5A8B2156AAB712067DDB2EB27AF646FC6235A,1F72BBF37E781D570EF316BFCE2A3BABD27E3BF7,056EBA066FB6355FE6B81FDF375C1CDDF5BEBBC6,F29C3DB00F73F75D84B7DFDC7787BF78A91C6A81,7A6A631756F2B240CBDFA81DF654DABA599C0F33,7E060283BE404E1E80CE738DDCC6C12F9EDE0113,4D6E16E3F7D89E8D839F716893D6A1F81C9F956D,7B24FEE1E6153D765DD696B7DC3588A38A6DF57D,CD9E234ED9742A341A67EAEC1A0B2D97CC89663C,BE11EA8919773D1D972D5B74EABC964BFC51C72D,03EABFB8409C4F62A732A3D728ACAA2E13403F50,D269A81C7741F458C31DB7FB14C58176421FB2F8,365464D12717C9A89840B13C0E7B0C602FB01B37,C96B7A46D3E26FADD6B8B9393D2EE0318AFBA7EE,C7F26CF4C07C9FF25CF2E5DDF02FAC2E6B2797EC,CC05882978FC5FDD6A7721687E14C0299AE004B8
1,2022/11/25 19:13:59,NEW_VALSET:PCHEIGHT/335289,26A3DFC1349DB441E3C430E7A6C24751FAA3D676A27B263520B33ACE6D1DEAF6,F384ECA19B7F9BC9A1D23D634C2E1CEFEF918E07919763EF866BFDCCDA32D42F,9901CCDA42B948EDDC835FB5C8AB06730A9C23CD,343843874,40824004,4279617,4277575,4277300,4277015,4276787,4276261,4276161,4276142,4276133,4276133,4276132,4276131,4276125,4276124,4276124,4276124,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276099,4233360,4191594,4191077,4191026,4191026,4191026,4149115,434,399,355,324,109,102,99,99,10,6,0,0,0,0,0,0
422,2022/11/28 22:57:03,NEW_VALSET:PCHEIGHT/339900,2402034BB1AF79A0472E863B7C6BE49680AF6F56A7C4AF6286E7E449EAAD6ECE,6430E7B23644388413077C7FC4715F87D3AE4C75A5D02ED8D9DBEA9EF9636FEA,97075D998C11771B38AAA0ACFBFDF09EED078BC9,348040874,40824004,4283489,4277675,4277415,4277565,4277387,4276262,4276161,4276152,4276133,4276135,4276132,4276131,4276128,4276125,4276125,4276125,4276124,4276124,4276123,4276123,4276123,4276125,4276123,4276123,4276123,4276123,4276123,4276125,4276122,4276122,4276122,4276123,4233360,4276122,4276124,4276123,4276122,4276123,4276124,4276123,4276123,4276124,4276124,4276123,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276122,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276125,4276121,4276099,4233361,4191655,4191078,4191026,4191027,4191026,4149115,434,0,355,325,110,104,100,101,12,1437,4233362,1,0,0,0,0
552,2022/11/28 23:14:37,NEW_VALSET:PCHEIGHT/339913,EA67D326043E31399C00B68E6786BF0488A304D7B6EDCF44D5482643899DC778,0D23B62B2F9F36045E1EEA516C3411F1C3E77C08DD948DDF16A49B49AFA5A107,CA799C8A8079B5BAC07CBCF77C94CA050CB4CB80,348040880,40824004,4283489,4277675,4277415,4277565,4277387,4276262,4276161,4276152,4276133,4276135,4276132,4276131,4276128,4276125,4276125,4276125,4276124,4276124,4276123,4276123,4276123,4276125,4276123,4276123,4276123,4276123,4276123,4276125,4276122,4276122,4276122,4276123,4233360,4276122,4276124,4276123,4276122,4276123,4276124,4276123,4276123,4276124,4276124,4276123,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276122,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276125,4276121,4276099,4233361,4191655,4191078,4191026,4191027,4191026,4149115,434,0,355,325,111,104,100,101,12,1442,4233362,1,0,0,0,0
553,2022/11/28 23:14:48,NEW_VALSET:PCHEIGHT/339931,5CAACB59048EB1378590067F370B4090CC290BEFCAA5835744EBB18C44FF8907,5AC5BBC5D6045F2ACA85E8A8A6C06894115DC51154E388BD4CFFEBEB2CA112F8,CA799C8A8079B5BAC07CBCF77C94CA050CB4CB80,348040888,40824004,4283489,4277675,4277415,4277565,4277387,4276262,4276161,4276152,4276133,4276135,4276132,4276131,4276128,4276125,4276125,4276125,4276124,4276124,4276123,4276123,4276123,4276125,4276123,4276123,4276123,4276123,4276123,4276125,4276122,4276122,4276122,4276123,4233360,4276122,4276124,4276123,4276122,4276123,4276124,4276123,4276123,4276124,4276124,4276123,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276122,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276125,4276121,4276099,4233361,4191655,4191078,4191026,4191027,4191026,4149115,434,0,355,325,111,104,100,101,12,1450,4233362,1,0,0,0,0
554,2022/11/28 23:14:55,NEW_VALSET:PCHEIGHT/339960,810B2EEBB09BB177A50D9CAC30987E71CBF6C8F16E86460E625D41C35410806D,E0B2FF16B8F7CCE5F1B556A79BC2FEDC47953A7C16650B58B777EBC6465AFC89,6A3CACEAEA586C9AF3051249D6FF34942835DF10,348040903,40824004,4283489,4277675,4277415,4277565,4277387,4276262,4276161,4276152,4276133,4276135,4276132,4276131,4276128,4276125,4276125,4276125,4276124,4276124,4276123,4276123,4276123,4276125,4276123,4276123,4276123,4276123,4276123,4276125,4276123,4276122,4276122,4276123,4233360,4276122,4276124,4276123,4276122,4276123,4276124,4276123,4276123,4276124,4276124,4276123,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276122,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276125,4276121,4276099,4233361,4191656,4191078,4191026,4191027,4191026,4149115,434,0,355,325,111,104,100,101,12,1463,4233362,1,0,0,0,0
555,2022/11/28 23:15:12,NEW_VALSET:PCHEIGHT/339977,1C6D1E2BEB2E903D4357D2CC79EA73E8DF90E89521A92948139D520318B72C63,A6001EC2224D1C0648F64288D09C3B465300D5585A84D2A37531ADEB93AA0DDB,6A3CACEAEA586C9AF3051249D6FF34942835DF10,348040911,40824004,4283489,4277675,4277415,4277565,4277387,4276262,4276161,4276152,4276133,4276135,4276132,4276131,4276128,4276125,4276125,4276125,4276124,4276124,4276123,4276123,4276123,4276125,4276123,4276123,4276123,4276123,4276123,4276125,4276123,4276122,4276122,4276123,4233360,4276122,4276124,4276123,4276122,4276123,4276124,4276123,4276123,4276124,4276124,4276123,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276122,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276125,4276121,4276099,4233361,4191656,4191078,4191026,4191027,4191026,4149115,434,0,355,325,111,104,100,101,12,1471,4233362,1,0,0,0,0
556,2022/11/28 23:15:23,NEW_VALSET:PCHEIGHT/340006,A482548A2977F064C530FF137491F26F895CB5AE947883596B388E849EE319A7,ED8DE9DA125CF5337133957EFAEE725DD7F5811917533B0E15D0B43E6028259F,6A3CACEAEA586C9AF3051249D6FF34942835DF10,348040948,40824004,4283489,4277699,4277415,4277565,4277387,4276262,4276161,4276152,4276133,4276135,4276132,4276131,4276128,4276125,4276125,4276125,4276124,4276124,4276123,4276123,4276123,4276125,4276123,4276123,4276123,4276123,4276123,4276125,4276123,4276122,4276122,4276123,4233360,4276122,4276124,4276123,4276122,4276123,4276124,4276123,4276123,4276124,4276124,4276123,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276122,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276125,4276121,4276099,4233361,4191656,4191078,4191026,4191027,4191026,4149115,434,0,355,325,111,104,100,101,12,1484,4233362,1,0,0,0,0
557,2022/11/28 23:15:30,NEW_VALSET:PCHEIGHT/340036,329FC65F045171F5C12A5D04B15817295FB032455B3658E34FD33EE2C885B764,1E4868AE0C303A8E2E597AB89FB92A9ECE9DFF21FAAFAAC6136854091D9B167E,42890EEA7E9B02890605135356D90B6433A47749,348040964,40824004,4283489,4277699,4277415,4277565,4277387,4276262,4276161,4276152,4276133,4276135,4276132,4276131,4276128,4276125,4276125,4276125,4276124,4276124,4276123,4276123,4276123,4276125,4276123,4276123,4276123,4276123,4276123,4276125,4276123,4276122,4276122,4276123,4233360,4276122,4276124,4276123,4276122,4276123,4276124,4276124,4276123,4276124,4276124,4276123,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276122,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276125,4276121,4276099,4233361,4191657,4191078,4191026,4191027,4191026,4149115,434,0,355,325,111,104,100,101,12,1498,4233362,1,0,0,0,0
558,2022/11/28 23:15:36,NEW_VALSET:PCHEIGHT/340053,0A289B4F9151F0A55F33E057373683A8BA5196291C64D4BD8DE5702F81CA68C3,0A64FE7382D982B10B677EC4CDD0568FF7ACDECE8139C172B12D2DBEB0678528,3B9916B501C53E38015676282F14E2AAF025F6C5,348040972,40824004,4283489,4277699,4277415,4277565,4277387,4276262,4276161,4276152,4276133,4276135,4276132,4276131,4276128,4276125,4276125,4276125,4276124,4276124,4276123,4276123,4276123,4276125,4276123,4276123,4276123,4276123,4276123,4276125,4276123,4276122,4276122,4276123,4233360,4276122,4276124,4276123,4276122,4276123,4276124,4276124,4276123,4276124,4276124,4276123,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276122,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276125,4276121,4276099,4233361,4191657,4191078,4191026,4191027,4191026,4149115,434,0,355,325,111,104,100,101,12,1506,4233362,1,0,0,0,0
559,2022/11/28 23:15:48,NEW_VALSET:PCHEIGHT/340068,69E797914DB0CFAD293DBB59A050192E0D5BBAE207D1FBB69F72A39713750BF4,5F0F2BF66D683E1E8D663F1561CF59E74EAEB8F536ABF61BE2C202D57C43E7FA,3B9916B501C53E38015676282F14E2AAF025F6C5,348040980,40824004,4283489,4277699,4277415,4277565,4277387,4276262,4276161,4276152,4276133,4276135,4276132,4276131,4276128,4276125,4276125,4276125,4276124,4276124,4276123,4276123,4276123,4276125,4276123,4276123,4276123,4276123,4276123,4276125,4276123,4276122,4276122,4276123,4233360,4276122,4276124,4276123,4276122,4276123,4276124,4276124,4276123,4276124,4276124,4276123,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276122,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276125,4276121,4276099,4233361,4191657,4191078,4191026,4191027,4191026,4149116,434,0,355,325,111,104,100,101,12,1513,4233362,1,0,0,0,0
