block_height,block_time,comment,validators_hash,computed_hash,proposer_address,total_vp,6A3CACEAEA586C9AF3051249D6FF34942835DF10,0B8F81F6A82C6B3708D6192C2AD1B53209E04F6C,9901CCDA42B948EDDC835FB5C8AB06730A9C23CD,0DA35960AC73947F415949EDAF885E1A9A186370,B5B358B6B17052E2E1A00B8ED78127FFDFF584AF,A3A9B9712869F224F4F1F3CB3DE5D039D6268F21,372D1BB96574A4F382BCC2E9E5DC1A71CC6B0CE9,CD0DA85F510345EAECB73AEED6E3C2C65AD27E53,54443EF34125BDBDF74D8E1FD1EC3857160EF3CC,96884BE29D4D231AFB90D034748286D51A6BE943,B59B63331FD2120C89BF2E7DD657E7F9AA090A1D,E63597E3F46F3A8C82379A72D37FD7D280E832FA,66843E34B5A0CC0D4FFACE4C928D200753D4B9D3,FC9402FF4B53B8B72624C7FB28DDE49797EF474B,5DEFF454EB30618FA2B978D9FF1C8B523311F1D1,671C08BB55C1C242DC5A342889CD8C0071893FF9,F54306AE4536A8818B3BCB46D156403FCE944650,F6EBCC201A051C2106A6F0CD95A452C843BA4F14,0E311E3634B0F6F5959F9394577233D6882625D0,16625311355C4993FDA69D218875CAEB783F66D5,1C4A305A101EDFB122E8C15289F036C98986FCDB,305013CCA69866DA942265649D56B57D4F2545CC,76D9967474B62835E703A577101D1FD35F84D36B,97075D998C11771B38AAA0ACFBFDF09EED078BC9,C759989AB500EDF629C4CED1267CA30F660E4024,DDF94D41B15E7A77122259D83B2BDCF474540337,E1A48ED16EB660BE4F259E0E3A62B8BE56F41E36,E2CDB3113C0392603810E16929C86C013A46F540,E77FE2A0D7784F9CE575D35F09FBB33BB05CC9EB,EE50044D5EE07FA2C2CC94F1A81D2B6DADC103EB,003E6F7A2FD88BAA3E2117945671FE0D994E171D,0385B199514F483871B7B801A923BF53977B2916,103CC3FC5E90C04EE208BD0716DC889552926EF8,214752CFB2CD5CB00EC625739C224AA406226D0E,41AA5DF98BDB8A809B956A7925CF21FA905D08DD,42890EEA7E9B02890605135356D90B6433A47749,4544EF788285E35826DB28EC62FD704554CC7156,5A22861F57F12829B68A022FB805685A4E5850C3,5BED074FAD72B341DE26B43628F2FE0917AC1D63,6406B7B10A978323E679E226F0D3546E0470B864,8A73C4B75E360FF191B844A61B8845A0AD65D208,95E3F1574DDB503F0380D98A976E0CF8469B874F,98051EE9D111826D0A03BBDD0334C7C246FC4636,9B2D81FF1268365847546044CBAD688382D6B664,9C87B7B7B0E79B4BE81D72C6B68F7122BCB04EEC,A2E373DC0894BC0CD0F5C7A8ECF22F1F9E8F5579,B45362A682176E95B35B2084405D4F50A77F9CCA,3558238D72FAC0A40B276D8F238CDF28BE16B4AA,3CC44C72DFD38D8538F1AC2443E540CCA730261C,52479C885E73D2F570D47E5F0433785051350DD1,59CC9F852235473DF57BCEF37C60F3A29DB36811,60DFD976E9B748B1E1F06FD7B6809A370BD3A302,616BA35C85E60F6C7F5AE9E5FD0843378D130F8E,61DDA93355D0ED14AD0F01DF9657F1D922FD8A08,65185BC275EB9232A2DFF23BEB4EAA075BDAD3CE,7149CA24B79EE0E073B9ED04C232A9E9753FBAC9,7B0DE97C082AE7911928004FE8B145AA1FF56038,87AD83AC8C84ABE5D8890E4DFE407F17BCD42B4E,8C7E66C0416A002CFCF1A99F88F33FCC8F599944,8F7B51C1E8520E0BFA894ED83213E45DEB10E156,9797557328079BB3D3E588DAD873F0EA6C098C10,BF4F4707754A93FC8B10B4CA1DF98A043B776ADF,C43B466D9C3A60859B66A48E0B54C662BC701FB5,CA799C8A8079B5BAC07CBCF77C94CA050CB4CB80,7A74EB2298B26CC9F30C1C682A5C0DE209EE3687,57D2C0F208DE8B603DA6C9B75CD95C32597BE348,3B9916B501C53E38015676282F14E2AAF025F6C5,1501A996ED5577FC65D57F92ACC8E15CE6B7DFAD,7EEBC8E086DB6453F77954C44C94D6FB6F0A625E,657CB53BCDD047092A840BA12B894D6A079C05ED,D4686840675436000E9B33B8A58193B9406ADDA3,ADA6B3B2DE3BB2686DBEF1543C309D10D23EC2CC,DEF5A8B2156AAB712067DDB2EB27AF646FC6235A,056EBA066FB6355FE6B81FDF375C1CDDF5BEBBC6,F29C3DB00F73F75D84B7DFDC7787BF78A91C6A81,BE11EA8919773D1D972D5B74EABC964BFC51C72D,7A6A631756F2B240CBDFA81DF654DABA599C0F33,7E060283BE404E1E80CE738DDCC6C12F9EDE0113,7B24FEE1E6153D765DD696B7DC3588A38A6DF57D,4D6E16E3F7D89E8D839F716893D6A1F81C9F956D,5DEF681F8F155ACB4939294C20DF4FF00E8680B4,CD9E234ED9742A341A67EAEC1A0B2D97CC89663C,D269A81C7741F458C31DB7FB14C58176421FB2F8,03EABFB8409C4F62A732A3D728ACAA2E13403F50,C96B7A46D3E26FADD6B8B9393D2EE0318AFBA7EE,365464D12717C9A89840B13C0E7B0C602FB01B37,1F72BBF37E781D570EF316BFCE2A3BABD27E3BF7,CC05882978FC5FDD6A7721687E14C0299AE004B8
1,2022/11/28 18:00:00,NEW_VALSET:PCHEIGHT/337081,F2BB1AA4E065857F9EA58C29E41E0471BB94545D6C1BE5B815BC39F38D969FCA,C4091C33B713EDBD8C340807E27D9D1A6A9FC13017879367223F58481CE36B98,9C87B7B7B0E79B4BE81D72C6B68F7122BCB04EEC,343846175,40824004,4281327,4277625,4277387,4277349,4277015,4276261,4276161,4276151,4276133,4276133,4276132,4276131,4276126,4276124,4276124,4276124,4276124,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276099,4233360,4191617,4191078,4191027,4191026,4191026,4149115,434,355,325,157,109,102,100,99,96,11,1,0,0,0,0,0
4928,2022/11/29 07:13:43,NEW_VALSET:PCHEIGHT/337286,1FA518B2864A77F9D2ADC8DE058B7B9F33BFC0D1DAF61B6E068690CB776B62CE,81CD169F1157434486042CB818BAD263080831A4A270D55CE552CFA91C96C280,6A3CACEAEA586C9AF3051249D6FF34942835DF10,348079791,40824004,4281487,4277625,4277387,4277349,4277015,4276261,4276161,4276151,4276133,4276133,4276132,4276131,4276127,4276124,4276124,4276124,4276124,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276123,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276099,4233360,4191621,4191078,4191027,4191026,4191026,4149115,434,355,325,245,109,102,100,99,96,11,1,4233361,0,0,0,0
4950,2022/11/29 07:16:40,NEW_VALSET:PCHEIGHT/337669,C058EBA18669D60590CD141ABB4A78273EEFE3D1981AD04815B45B8BD97468E8,DF198066104C9D2DE0505BDC23FDF0B29EDCAF96BFAEA8E80643D959848866EB,4544EF788285E35826DB28EC62FD704554CC7156,348080299,40824004,4281808,4277625,4277387,4277349,4277015,4276261,4276161,4276152,4276133,4276133,4276132,4276131,4276127,4276124,4276124,4276124,4276125,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276124,4276122,4276122,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276122,4276121,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276099,4233360,4191625,4191078,4191027,4191026,4191026,4149115,434,355,325,421,109,103,100,99,96,11,1,4233361,0,0,0,0
5034,2022/11/29 07:26:33,NEW_VALSET:PCHEIGHT/337971,EE2B6B300AB80A7A9F89EAEF269C5A93E0F4D46BDE7CECA8C2CD4F8458706E42,CB64B65F3411D8BCD55123595558CA0DDFD199869AAF3D9DCC3B9A4D49D47E4C,6A3CACEAEA586C9AF3051249D6FF34942835DF10,348080671,40824004,4282018,4277625,4277387,4277366,4277015,4276262,4276161,4276152,4276133,4276133,4276132,4276131,4276127,4276124,4276124,4276124,4276125,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276123,4276122,4276122,4276122,4276124,4276122,4276123,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276122,4276121,4276122,4276121,4276121,4276121,4276121,4276123,4276121,4276099,4233360,4191629,4191078,4191027,4191026,4191026,4149115,434,355,325,556,109,103,101,99,96,12,1,4233362,0,0,0,0
5204,2022/11/29 07:46:41,NEW_VALSET:PCHEIGHT/338254,0B177FE36CF3B1FD8E95244F5BC446F5E58DDC89BED1E549F2C0289ED1C40AD0,6923C46CEA7F8960E701956F5A9CBD2048F217291749883D614FB76D7AE513DC,C43B466D9C3A60859B66A48E0B54C662BC701FB5,348081099,40824004,4282288,4277650,4277387,4277366,4277015,4276262,4276161,4276152,4276133,4276133,4276132,4276131,4276127,4276124,4276124,4276125,4276125,4276124,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276122,4276123,4276122,4276122,4276122,4276124,4276122,4276123,4276122,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276122,4276121,4276122,4276121,4276121,4276122,4276121,4276123,4276121,4276099,4233360,4191633,4191078,4191027,4191026,4191026,4149115,434,355,325,680,109,103,101,100,96,12,1,4233362,0,0,0,0
5289,2022/11/29 07:56:50,NEW_VALSET:PCHEIGHT/338646,342B0FF5FA481723CE8B5AD13DD9A4EB4918B708443CDBCE1403BEFD0949DDB8,7510783D3DD3869F221FA38BAE1870699473E9188BBB333727BD1F0A28746696,3558238D72FAC0A40B276D8F238CDF28BE16B4AA,343805482,40824004,4282588,4277650,4277387,4277382,4277015,4276262,4276161,4276152,4276133,4276133,4276132,4276131,4276127,4276125,4276124,4276125,4276125,4276124,4276123,4276123,4276123,4276123,4276124,4276123,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276123,4276122,0,4276122,4276123,4276122,4276123,4276122,4276122,4276122,4276124,4276122,4276123,4276123,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276122,4276121,4276122,4276122,4276121,4276122,4276122,4276123,4276121,4276099,4233360,4191638,4191078,4191027,4191026,4191026,4149115,434,355,325,856,109,104,101,100,96,12,1,4233362,0,0,0,0
5375,2022/11/29 08:06:45,NEW_VALSET:PCHEIGHT/339026,BA011AB7D8576D621B581081EEF8496243C0ABC2538E5777438C3C4FE6D61B90,CA8AE11C7D598A9F93C85B5F42842E7B61EC0628910A88BC830A303393D1CACC,5BED074FAD72B341DE26B43628F2FE0917AC1D63,343806478,40824004,4282898,4277675,4277387,4277398,4277565,4276262,4276161,4276152,4276133,4276133,4276132,4276131,4276127,4276125,4276125,4276125,4276125,4276124,4276123,4276123,4276123,4276123,4276124,4276124,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276123,4276122,0,4276122,4276123,4276123,4276123,4276122,4276122,4276122,4276124,4276123,4276123,4276123,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276124,4276121,4276099,4233360,4191643,4191078,4191027,4191026,4191026,4149115,434,355,325,1035,109,104,101,100,0,12,1,4233362,0,0,0,0
5420,2022/11/29 08:12:16,NEW_VALSET:PCHEIGHT/339128,32F0B48C2F4D1AAEAAC5115C4871D7E431DFBB3F53CBB59D09DA624A6F0B901F,4F8106C65446E57D36A851C8B76585BFC4493662A818CC8F605E20DC570E356D,616BA35C85E60F6C7F5AE9E5FD0843378D130F8E,348039968,40824004,4282978,4277675,4277387,4277399,4277565,4276262,4276161,4276152,4276133,4276133,4276132,4276131,4276127,4276125,4276125,4276125,4276125,4276124,4276123,4276123,4276123,4276123,4276124,4276124,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276123,4276122,4233360,4276122,4276123,4276123,4276123,4276122,4276122,4276122,4276124,4276123,4276123,4276123,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276124,4276121,4276099,4233360,4191646,4191078,4191027,4191026,4191026,4149115,434,355,325,1081,109,104,101,100,0,12,1,4233362,0,0,0,0
5421,2022/11/29 08:12:23,NEW_VALSET:PCHEIGHT/339224,E5EB53EA6AC354CC910FE51BD664F3474C1F2F56DA53AF9A19377D42EB6FAA56,4523D153F8A148B07F1E75E60189EE44B67F2CAEB58FA8214B8BC564A9A8C670,65185BC275EB9232A2DFF23BEB4EAA075BDAD3CE,348040095,40824004,4283058,4277675,4277387,4277399,4277565,4276262,4276161,4276152,4276133,4276134,4276132,4276131,4276127,4276125,4276125,4276125,4276125,4276124,4276123,4276123,4276123,4276123,4276124,4276124,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276123,4276122,4233360,4276122,4276124,4276123,4276123,4276122,4276122,4276122,4276124,4276123,4276123,4276123,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276124,4276121,4276099,4233360,4191647,4191078,4191027,4191026,4191026,4149115,434,355,325,1125,109,104,101,100,0,12,1,4233362,0,0,0,0
5422,2022/11/29 08:12:35,NEW_VALSET:PCHEIGHT/339299,6CC4F7DB75BA448CE2594CC71CACCE287F44CDC7B30F2E983A406B384D7A79A3,4372FAB8705CCA39E1ACC653410BE71BAF8ED38DF6720C4B18B2B98CA9DFFC57,65185BC275EB9232A2DFF23BEB4EAA075BDAD3CE,348040204,40824004,4283128,4277675,4277387,4277399,4277565,4276262,4276161,4276152,4276133,4276135,4276132,4276131,4276127,4276125,4276125,4276125,4276125,4276124,4276123,4276123,4276123,4276123,4276124,4276124,4276123,4276123,4276123,4276123,4276123,4276122,4276122,4276122,4276123,4276122,4233360,4276122,4276124,4276123,4276123,4276122,4276122,4276123,4276124,4276123,4276123,4276123,4276122,4276121,4276121,4276121,4276121,4276121,4276121,4276121,4276122,4276122,4276122,4276122,4276121,4276123,4276122,4276124,4276121,4276099,4233360,4191648,4191078,4191027,4191026,4191026,4149115,434,355,325,1161,109,104,101,100,0,12,1,4233362,0,0,0,0
