address,totalVSCPackets,effectedVSCPackets
cosmos15md2qvgma8lnvqv67w0umu2paqkqkhege2evgl,490,490
cosmos1p7d8mnjttcszv34pk2a5yyug3474mhffasa7tg,418,418
cosmos1yvejj22t78s2vfk7slty2d7fs5lkc8rnnt3j9u,394,376
cosmos1v7726cex3q0cq5h45we46dq4pa8aezf7gyvwnh,222,222
cosmos1s3lsvs3fjl835z4pqgx43s7vvpnu40v9zz875m,197,197
cosmos1r8qrtns9dczjhpx8s8se5xs6qxwzr73glcnct7,188,188
cosmos14yc4z5jednwqzft5jlmte0xes9y8k44q4wjmzy,140,140
cosmos1tdwk9hmmhsehmlcuxsc5k6zm06uce5caj9e3nn,120,120
cosmos1p8ywrdl0ygchke8xtw8vg924s70dxl4vnykslt,112,112
cosmos1z6z9ah5p9aasz2zmf5haac0yg3fy0t2r9ylnya,75,75
cosmos13dlnk3vvszmhx4z49tdgu6t9egf56njwm8pdl3,38,38
cosmos1wdal3x50r7yutzu9kh5v9f4p4ayrrsnl96s3v3,38,33
cosmos1r7uyvp8gsyrp60x5a6tjxnf6e9pdg9jqzglr3f,31,31
cosmos12knlrwx7hu0nwn9a56rv9ad49aepfpjnuvxfmn,26,26
cosmos1dvh8n3je6qa8n60mhdsuqpyc4v3x7a3xudwk3x,24,24
cosmos1c3sgn6xg8lr48ah8kds40xvru5f8j0vs0ewryg,23,21
cosmos1sesp5mzpuq5k8dwvq96atr2vujz006z7z4hkgg,21,21
cosmos18pgtmgndryh75y9d2ahls0yq0u3ch2k48uk7gr,16,7
cosmos1fegapd4jc3ejqeg0eu3jk4hvr74hg66076gyyd,16,16
cosmos1ra2l6ftxenajvzx0asa3d3e8w7a9sxrjw0jyq7,12,12
cosmos137tync4z4q6hg8k0tzu2zw5p79nryyq83g2tyu,12,12
cosmos1nd7e8fdgncz3ypmrjgq2slp268eu2c25x8h62j,12,8
cosmos15cpwmcvcku09y89ynlf374dj3cqzyuhv0h8rnt,9,8
cosmos15tu9srh3kwsjx0pf48u59kh8tujfpgh6lnpl92,5,5
cosmos1v2n3mk6q0l434faan58x7vwyvdnfqr5uk7atp6,4,4
cosmos1rhvj25tutkld9p43y6w8pdfhcfzk270dc76tmn,3,3
cosmos14fk678ss9f67kyv9dyz9ek4ql2gckkcmq8wtdz,3,3
cosmos12mjplz0nuv0lnlc3zxu3nhhlecv55t2vltuggl,3,3
cosmos1l08k2a7r9v2h8utkhzncrx4x89cuk7qewjd4x2,3,3
cosmos1726hjp6m24z5vhcekme5c7uhgyuzmcw22kv4q7,3,3
cosmos1f9k0728rcngqj7p2eeqk27v8dw5sw5ccydx77j,2,2
cosmos1sw2cuffwlzndfs57czj29ttxrxtsgz9w2th2tu,1,1
cosmos1cyajglp9mq4p6nkz7smae8s0yaz08eekx3hg29,1,1
cosmos17adz6ssdxqphz8fkdtarn5favx6aeh9nxhlxn3,1,1
cosmos1c4pnjw0s3upw53kkq5w0gx633wghw8ty77wusw,1,1
cosmos1jcj42pd79mw5np4phwynad239n564e32qv8ws7,1,1
cosmos1ctprl2u2pgcdlc07r9wzkx3jj036v2lh56ykvf,1,1
cosmos1p636k9teec6ypctq3sg856ruyeaqg2vsq4nspg,1,1
cosmos12z6zvc53yx2794lqkr7alhwtml3xzc6n294j75,1,1
