address,totalVSCPackets,effectedVSCPackets
cosmos142h9349hp7qdgm6geqlzh5lrmvu6tc0cj2t3y6,13875,13663
cosmos1rhvj25tutkld9p43y6w8pdfhcfzk270dc76tmn,2865,2602
cosmos1axg37uw7t9hs32angleqz4senv6q2fp78rtvdx,2520,2480
cosmos1p2q4d3qpfdt4j3h45gd4grq0zj5e92zmgjhnwa,1214,1202
cosmos12mjplz0nuv0lnlc3zxu3nhhlecv55t2vltuggl,327,324
cosmos1pssyxu9ucj58xrahyvezlw08qkaw6w2vnhpcv7,144,143
cosmos15avrz9sx0grrvy0jgjyv53rgv984kfyfn6v3yk,110,110
cosmos1ctprl2u2pgcdlc07r9wzkx3jj036v2lh56ykvf,86,86
cosmos1ra2l6ftxenajvzx0asa3d3e8w7a9sxrjw0jyq7,43,43
cosmos1vqsxcvgvd7nex8ex06enm6vuyrkjkuwg9clh3w,22,22
cosmos1c29j9neznc3wmpu35deesuaj846yqpgntu2hjy,21,21
cosmos1k6q9rqckm94j3pe2d3srp8ezfn3n8w5eesmrhw,12,11
cosmos1dftsfeuhm4y5tz03250fw42vyjmtqnvvk377qs,6,6
cosmos1wdal3x50r7yutzu9kh5v9f4p4ayrrsnl96s3v3,4,4
