address,totalVSCPackets,effectedVSCPackets
neutron127s2e3cj289urn2tlf4dxnj4qt9xx8z4uxn46p,8691,8590
neutron1sh6lgdhwmg0rr03te2lsyu88n0mlmryvuu4uew,2415,2379
neutron192x4y32940sc2ekavaufha4ywh0qtr9x227m5p,2278,2235
neutron1krrxd6pslcl4xt08y72dz8xs40j2cae3rdzu4g,2151,2149
neutron1v7726cex3q0cq5h45we46dq4pa8aezf7vm9vfs,1788,1772
neutron1vlsedynku76pjym7zg5puxmz0yku4nhspfypny,1590,1564
neutron1hdnp2r03cmxemq5qjyn6gnzq423uxzvmjvu4lv,1062,1049
neutron1z8anepvmr9ggmnpgwsx7j5hzmzcfww00rpjary,975,951
neutron1p2q4d3qpfdt4j3h45gd4grq0zj5e92zmvd7356,830,806
neutron1qlmk6r5w5taqrky4ycur4zq6jqxmuzr6xv2uh4,355,345
neutron1f9k0728rcngqj7p2eeqk27v8dw5sw5ccqj0uy4,354,351
neutron1ctprl2u2pgcdlc07r9wzkx3jj036v2lhs9d5kw,338,333
neutron1277wg2zrke23r0zw028864khr92j839axzvath,264,261
neutron15mgwhfpqhmp98aqfy7z84ncz35ruwc0r69hez6,219,219
neutron1sw2cuffwlzndfs57czj29ttxrxtsgz9ww57g3m,161,161
neutron149nfuveshlx7g7g5z8rngc8dagl0jv2ck5svlt,148,148
neutron1uytq4m0yugh5ft5q567y9s798h3m06zwcc6ayx,137,135
neutron1rhvj25tutkld9p43y6w8pdfhcfzk270dupnfp5,132,127
neutron1z4rmymnzd8zrulee5ezrvr0ty8etydlmkfmjav,132,131
neutron1pvng67cekyf7hjquy8uw0vy83s9xhr063ke5l6,125,123
neutron1ra2l6ftxenajvzx0asa3d3e8w7a9sxrj2smx6e,115,113
neutron1ettes35du4un23gz0jp2gjgv3xrazt3lptgew3,115,109
neutron1rkx2rlfwsgt96gqjya8pd3pe24qcgmuqzp2wv3,18,15
neutron15gf7yh8p3pg8s2nn07avx7wuhx85zquglxkgff,14,14
neutron1220f94ge422kxtgdjs9m99zn3v6zupug4e06vn,12,12
neutron12hkh0psj9etqrqfft59sqf9e5eyzd2ec2zp7ll,11,10
neutron104a39tctqk8zurpaff9ktcxn02xluxh5h8kja5,3,3
