address,totalVSCPackets,effectedVSCPackets
cosmos1tdwk9hmmhsehmlcuxsc5k6zm06uce5caj9e3nn,3535,3483
cosmos1pq2h29c7zwr68yvz2kxd540maxxfjawds76g0g,2207,1939
cosmos1n04zsk3szg2ywxvaad9u7790k83nnjfqa8nt9q,1432,1407
cosmos1l8qcr23jy4ssv2j4qvk9jg8z7fjp5l4maz8y7a,1165,1159
cosmos14469fytjzrtgqpgra3983cuvrp0e2mlz3e686k,976,974
cosmos149nfuveshlx7g7g5z8rngc8dagl0jv2cjtew9v,862,845
cosmos1v7726cex3q0cq5h45we46dq4pa8aezf7gyvwnh,822,817
cosmos1hdnp2r03cmxemq5qjyn6gnzq423uxzvmkn4h9t,780,649
cosmos1yvejj22t78s2vfk7slty2d7fs5lkc8rnnt3j9u,619,576
cosmos15md2qvgma8lnvqv67w0umu2paqkqkhege2evgl,591,590
cosmos1nn5vcwlk9p9q4w3e2wyd5xlyzc2jk7eym0n8e9,581,567
cosmos12z6zvc53yx2794lqkr7alhwtml3xzc6n294j75,561,549
cosmos1z35gsalj4p0ce7nwe28qenlklga0edf388r0g7,559,552
cosmos1p7d8mnjttcszv34pk2a5yyug3474mhffasa7tg,515,514
cosmos1sh6lgdhwmg0rr03te2lsyu88n0mlmryvcru7rf,497,485
cosmos1rwsq4kwraq5nxq26fnhstdwnlhjmdfjz92zdmk,398,349
cosmos13xeuw5fkg4te7zpceydsn4l3tqauvkwvjz3hrt,297,215
cosmos1fgcaew5lzk2n0plczhfgay7wcmkf90nkaut5p5,282,274
cosmos1c4pnjw0s3upw53kkq5w0gx633wghw8ty77wusw,271,269
cosmos192x4y32940sc2ekavaufha4ywh0qtr9xw4hewx,268,242
cosmos1p8ywrdl0ygchke8xtw8vg924s70dxl4vnykslt,261,256
cosmos15avrz9sx0grrvy0jgjyv53rgv984kfyfn6v3yk,231,224
cosmos1dftsfeuhm4y5tz03250fw42vyjmtqnvvk377qs,189,188
cosmos1qxts2q6sn9lg5sk8l0669yh3jgv8sysw26yvn0,186,186
cosmos14yc4z5jednwqzft5jlmte0xes9y8k44q4wjmzy,183,183
cosmos1mxves3jchrjertqjlrgypzlfwrd4v626nd4n37,182,181
cosmos1krrxd6pslcl4xt08y72dz8xs40j2cae38jt700,161,160
cosmos1l08k2a7r9v2h8utkhzncrx4x89cuk7qewjd4x2,154,153
cosmos1c3sgn6xg8lr48ah8kds40xvru5f8j0vs0ewryg,152,86
cosmos1ydxzchmmvtsfwczklj49ezz2xm6ggudq3wqv4p,134,86
cosmos1p2q4d3qpfdt4j3h45gd4grq0zj5e92zmgjhnwa,104,101
cosmos1p636k9teec6ypctq3sg856ruyeaqg2vsq4nspg,90,88
cosmos15mgwhfpqhmp98aqfy7z84ncz35ruwc0r767mca,60,60
cosmos1jhnap89pyxmm3uuzg9hvph3rk8am5cp6ad4meh,58,57
cosmos1277wg2zrke23r0zw028864khr92j839aza9l3s,49,47
cosmos1375lry8y8g6lpf8k9en09fgdwwv987ytrlfvgt,45,44
cosmos1rh4nfc7653szzpntx3kemm6yt9eavt7ru8yugj,43,39
cosmos1wdal3x50r7yutzu9kh5v9f4p4ayrrsnl96s3v3,42,35
cosmos12mjplz0nuv0lnlc3zxu3nhhlecv55t2vltuggl,40,38
cosmos1ctprl2u2pgcdlc07r9wzkx3jj036v2lh56ykvf,37,21
cosmos17fnep9zp3qe9rn6t7nn69rhresk8u7ts089hay,33,33
cosmos1f9k0728rcngqj7p2eeqk27v8dw5sw5ccydx77j,31,25
cosmos1qlmk6r5w5taqrky4ycur4zq6jqxmuzr6znr7dj,23,21
cosmos1r7uyvp8gsyrp60x5a6tjxnf6e9pdg9jqzglr3f,19,19
cosmos12knlrwx7hu0nwn9a56rv9ad49aepfpjnuvxfmn,18,18
cosmos137tync4z4q6hg8k0tzu2zw5p79nryyq83g2tyu,18,18
cosmos1ra2l6ftxenajvzx0asa3d3e8w7a9sxrjw0jyq7,16,15
cosmos1h4qq3hwcmr3lpx7yj76s0u7nz48zmgc85m0nsd,15,13
cosmos1fegapd4jc3ejqeg0eu3jk4hvr74hg66076gyyd,12,12
cosmos1sw2cuffwlzndfs57czj29ttxrxtsgz9w2th2tu,10,10
cosmos1rhvj25tutkld9p43y6w8pdfhcfzk270dc76tmn,4,4
cosmos1uytq4m0yugh5ft5q567y9s798h3m06zwu8nl7p,2,1
cosmos1a8ed3cde2c777fgajhewjr6xa6cz32f7gm60n0,2,2
cosmos1h2kj8gx9y6zp3sevetr042jj6jkqw6qnne8txs,1,1
cosmos1z4tqlvhyv408n9uvps3046funrswwesmrasqpm,1,1
cosmos1k37hwefcswtupsajm8hfa0ffr969r34nk08dke,1,1
cosmos15tu9srh3kwsjx0pf48u59kh8tujfpgh6lnpl92,1,0
