address,total_fees,total_client_updates,effected_client_updates
cosmos1rhvj25tutkld9p43y6w8pdfhcfzk270dc76tmn,"[{""denom"":""upol"",""amount"":4197}]",10,9
cosmos1p7d8mnjttcszv34pk2a5yyug3474mhffasa7tg,"[{""denom"":""upol"",""amount"":0}]",6207,1878
cosmos15md2qvgma8lnvqv67w0umu2paqkqkhege2evgl,"[{""denom"":""upol"",""amount"":14628609}]",6163,2059
cosmos1c4pnjw0s3upw53kkq5w0gx633wghw8ty77wusw,"[{""denom"":""upol"",""amount"":1601535}]",63,43
cosmos14yc4z5jednwqzft5jlmte0xes9y8k44q4wjmzy,"[{""denom"":""upol"",""amount"":3656241}]",1273,978
cosmos12mjplz0nuv0lnlc3zxu3nhhlecv55t2vltuggl,"[{""denom"":""upol"",""amount"":0}]",20,7
cosmos1p8ywrdl0ygchke8xtw8vg924s70dxl4vnykslt,"[{""denom"":""upol"",""amount"":0}]",846,412
cosmos13rqh69lwlgggayv30d0243jknsdlhz3757sqz8,"[{""denom"":""upol"",""amount"":2799}]",2,2
cosmos14fk678ss9f67kyv9dyz9ek4ql2gckkcmq8wtdz,"[{""denom"":""upol"",""amount"":119903}]",4,4
cosmos1l08k2a7r9v2h8utkhzncrx4x89cuk7qewjd4x2,"[{""denom"":""upol"",""amount"":0}]",5,4
cosmos1s3lsvs3fjl835z4pqgx43s7vvpnu40v9zz875m,"[{""denom"":""upol"",""amount"":37389442}]",4663,7
cosmos1sesp5mzpuq5k8dwvq96atr2vujz006z7z4hkgg,"[{""denom"":""upol"",""amount"":14375534}]",441,440
cosmos1dvh8n3je6qa8n60mhdsuqpyc4v3x7a3xudwk3x,"[{""denom"":""upol"",""amount"":16025735}]",428,5
cosmos12knlrwx7hu0nwn9a56rv9ad49aepfpjnuvxfmn,"[{""denom"":""upol"",""amount"":18196220}]",539,252
cosmos1yvejj22t78s2vfk7slty2d7fs5lkc8rnnt3j9u,"[{""denom"":""upol"",""amount"":14996705}]",8465,880
cosmos1h2kj8gx9y6zp3sevetr042jj6jkqw6qnne8txs,"[{""denom"":""upol"",""amount"":131626}]",4,4
cosmos1ra2l6ftxenajvzx0asa3d3e8w7a9sxrjw0jyq7,"[{""denom"":""upol"",""amount"":5977090}]",206,82
cosmos137tync4z4q6hg8k0tzu2zw5p79nryyq83g2tyu,"[{""denom"":""upol"",""amount"":9802955}]",339,160
cosmos18pgtmgndryh75y9d2ahls0yq0u3ch2k48uk7gr,"[{""denom"":""upol"",""amount"":13714}]",10,7
cosmos102rrm59y64s5vc29983n82pm0rgtc3kfapvryg,"[{""denom"":""upol"",""amount"":""33608""}]",1,1
cosmos13dlnk3vvszmhx4z49tdgu6t9egf56njwm8pdl3,"[{""denom"":""upol"",""amount"":8394279}]",1044,156
cosmos1sw2cuffwlzndfs57czj29ttxrxtsgz9w2th2tu,"[{""denom"":""upol"",""amount"":34398}]",4,3
cosmos1cyajglp9mq4p6nkz7smae8s0yaz08eekx3hg29,"[{""denom"":""upol"",""amount"":""0""}]",1,1
cosmos15cpwmcvcku09y89ynlf374dj3cqzyuhv0h8rnt,"[{""denom"":""upol"",""amount"":279817}]",64,11
cosmos17adz6ssdxqphz8fkdtarn5favx6aeh9nxhlxn3,"[{""denom"":""upol"",""amount"":""31387""}]",1,1
cosmos1726hjp6m24z5vhcekme5c7uhgyuzmcw22kv4q7,"[{""denom"":""upol"",""amount"":10665504}]",76,70
cosmos1fu5ew3ng8a2gk3gxq2t62wjw4ueqvhk7slcl6q,"[{""denom"":""upol"",""amount"":3194}]",11,5
cosmos15tu9srh3kwsjx0pf48u59kh8tujfpgh6lnpl92,"[{""denom"":""upol"",""amount"":27455}]",35,34
cosmos1v7726cex3q0cq5h45we46dq4pa8aezf7gyvwnh,"[{""denom"":""upol"",""amount"":10568806}]",2409,689
cosmos1c3sgn6xg8lr48ah8kds40xvru5f8j0vs0ewryg,"[{""denom"":""upol"",""amount"":9658589}]",1116,193
cosmos1fegapd4jc3ejqeg0eu3jk4hvr74hg66076gyyd,"[{""denom"":""upol"",""amount"":9658297}]",344,338
cosmos1nd7e8fdgncz3ypmrjgq2slp268eu2c25x8h62j,"[{""denom"":""upol"",""amount"":80972}]",96,3
cosmos1wdal3x50r7yutzu9kh5v9f4p4ayrrsnl96s3v3,"[{""denom"":""upol"",""amount"":4659734}]",1392,255
cosmos1r8qrtns9dczjhpx8s8se5xs6qxwzr73glcnct7,"[{""denom"":""upol"",""amount"":4466197}]",7001,813
cosmos1r7uyvp8gsyrp60x5a6tjxnf6e9pdg9jqzglr3f,"[{""denom"":""upol"",""amount"":16022219}]",556,31
cosmos1sqjwcu60rllucw2ps5pksjmacduesjs5ptln6p,"[{""denom"":""upol"",""amount"":16596}]",4,0
cosmos1jcj42pd79mw5np4phwynad239n564e32qv8ws7,"[{""denom"":""upol"",""amount"":180352}]",15,4
cosmos1uytq4m0yugh5ft5q567y9s798h3m06zwu8nl7p,"[{""denom"":""upol"",""amount"":25545}]",7,0
cosmos1v2n3mk6q0l434faan58x7vwyvdnfqr5uk7atp6,[],257,21
cosmos1z6z9ah5p9aasz2zmf5haac0yg3fy0t2r9ylnya,"[{""denom"":""upol"",""amount"":15987533}]",495,127
