address,total_fees,total_client_updates,effected_client_updates
cosmos1qxts2q6sn9lg5sk8l0669yh3jgv8sysw26yvn0,"[{""denom"":""unik"",""amount"":7333546}]",11586,151
cosmos1yvejj22t78s2vfk7slty2d7fs5lkc8rnnt3j9u,"[{""denom"":""unik"",""amount"":8893835}]",11114,2085
cosmos15md2qvgma8lnvqv67w0umu2paqkqkhege2evgl,"[{""denom"":""unik"",""amount"":14629608}]",8978,1648
cosmos1p7d8mnjttcszv34pk2a5yyug3474mhffasa7tg,"[{""denom"":""unik"",""amount"":0}]",8840,2081
cosmos1z35gsalj4p0ce7nwe28qenlklga0edf388r0g7,"[{""denom"":""unik"",""amount"":59734944}]",6596,2
cosmos1v7726cex3q0cq5h45we46dq4pa8aezf7gyvwnh,"[{""denom"":""unik"",""amount"":1366555}]",3709,753
cosmos1pq2h29c7zwr68yvz2kxd540maxxfjawds76g0g,"[{""denom"":""unik"",""amount"":1438462}]",3674,638
cosmos14yc4z5jednwqzft5jlmte0xes9y8k44q4wjmzy,"[{""denom"":""unik"",""amount"":5366091}]",1663,1025
cosmos1wdal3x50r7yutzu9kh5v9f4p4ayrrsnl96s3v3,"[{""denom"":""unik"",""amount"":5871057}]",1546,139
cosmos1nn5vcwlk9p9q4w3e2wyd5xlyzc2jk7eym0n8e9,"[{""denom"":""unik"",""amount"":13677146}]",1497,43
cosmos1p8ywrdl0ygchke8xtw8vg924s70dxl4vnykslt,"[{""denom"":""unik"",""amount"":0}]",1173,402
cosmos1c3sgn6xg8lr48ah8kds40xvru5f8j0vs0ewryg,"[{""denom"":""unik"",""amount"":9937719}]",578,76
cosmos14469fytjzrtgqpgra3983cuvrp0e2mlz3e686k,"[{""denom"":""unik"",""amount"":18022180}]",551,547
cosmos13xeuw5fkg4te7zpceydsn4l3tqauvkwvjz3hrt,[],532,49
cosmos1r7uyvp8gsyrp60x5a6tjxnf6e9pdg9jqzglr3f,"[{""denom"":""unik"",""amount"":16019220}]",476,474
cosmos12knlrwx7hu0nwn9a56rv9ad49aepfpjnuvxfmn,"[{""denom"":""unik"",""amount"":18161709}]",475,140
cosmos1l8qcr23jy4ssv2j4qvk9jg8z7fjp5l4maz8y7a,"[{""denom"":""unik"",""amount"":16013722}]",399,2
cosmos1n04zsk3szg2ywxvaad9u7790k83nnjfqa8nt9q,"[{""denom"":""unik"",""amount"":16025056}]",376,3
cosmos1ydxzchmmvtsfwczklj49ezz2xm6ggudq3wqv4p,"[{""denom"":""unik"",""amount"":1471659}]",361,1
cosmos1fegapd4jc3ejqeg0eu3jk4hvr74hg66076gyyd,"[{""denom"":""unik"",""amount"":9687750}]",307,297
cosmos137tync4z4q6hg8k0tzu2zw5p79nryyq83g2tyu,"[{""denom"":""unik"",""amount"":9813437}]",303,214
cosmos1ra2l6ftxenajvzx0asa3d3e8w7a9sxrjw0jyq7,"[{""denom"":""unik"",""amount"":6023151}]",186,72
cosmos1c4pnjw0s3upw53kkq5w0gx633wghw8ty77wusw,"[{""denom"":""unik"",""amount"":3043759}]",88,41
cosmos1mxves3jchrjertqjlrgypzlfwrd4v626nd4n37,"[{""denom"":""unik"",""amount"":0}]",56,3
cosmos12mjplz0nuv0lnlc3zxu3nhhlecv55t2vltuggl,"[{""denom"":""unik"",""amount"":0}]",46,3
cosmos19qna5yrv222527e46hfe6txvq4xk75tnrsk303,"[{""denom"":""unik"",""amount"":4925084}]",32,22
cosmos10n3yn50v2wpk9djfn5znkjgd6j6zmv3ld7q8d4,"[{""denom"":""unik"",""amount"":280271}]",21,1
cosmos1uytq4m0yugh5ft5q567y9s798h3m06zwu8nl7p,"[{""denom"":""unik"",""amount"":52444}]",14,3
cosmos15tu9srh3kwsjx0pf48u59kh8tujfpgh6lnpl92,"[{""denom"":""unik"",""amount"":22554}]",12,11
cosmos1rhvj25tutkld9p43y6w8pdfhcfzk270dc76tmn,"[{""denom"":""unik"",""amount"":4191}]",9,9
cosmos1l08k2a7r9v2h8utkhzncrx4x89cuk7qewjd4x2,"[{""denom"":""unik"",""amount"":0}]",9,5
cosmos1rh4nfc7653szzpntx3kemm6yt9eavt7ru8yugj,"[{""denom"":""unik"",""amount"":5317}]",8,5
cosmos13rqh69lwlgggayv30d0243jknsdlhz3757sqz8,"[{""denom"":""unik"",""amount"":9827}]",4,3
cosmos1h2kj8gx9y6zp3sevetr042jj6jkqw6qnne8txs,"[{""denom"":""unik"",""amount"":95608}]",3,3
cosmos15avrz9sx0grrvy0jgjyv53rgv984kfyfn6v3yk,"[{""denom"":""unik"",""amount"":18171}]",2,2
cosmos1sw2cuffwlzndfs57czj29ttxrxtsgz9w2th2tu,"[{""denom"":""unik"",""amount"":""0""}]",1,1
cosmos1z4tqlvhyv408n9uvps3046funrswwesmrasqpm,"[{""denom"":""unik"",""amount"":""31542""}]",1,1
cosmos1k37hwefcswtupsajm8hfa0ffr969r34nk08dke,"[{""denom"":""unik"",""amount"":""31587""}]",1,1
cosmos1mn5q7zkpc2ztmy5g62csfctredcpvr3t204gr0,"[{""denom"":""unik"",""amount"":""12172""}]",1,1
